sample_id,selection_order,annotation_type,effective_default,repository,repository_url,pinned_commit,source_server,tool,source,field_unit_id,random_rank,actual_value,classification,behavior_summary,implementation_evidence,external_evidence,justification,inconclusive_reason
S001,1,readOnlyHint,false,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-create-a-comment,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-create-a-comment"",""readOnlyHint""]",139dc8f3d34958574086b3481326a5e74cb9b808f88d808223e8a6a33a474ad7,false,CORRECT,The generated tool sends Notion's create-comment POST and creates a comment on a page or discussion.,scripts/notion-openapi.json:1512-1566; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230,,"A successful path creates remote state, so actual readOnlyHint is false and matches the omission default.",
S002,2,readOnlyHint,false,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,find_similar,src/server.ts tools/list; description at src/instructions.ts:262,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""find_similar"",""readOnlyHint""]",2c81554dcd3dafa711c1aa5a4f1bef6b1bf8b6e14b4c2c1033ee6e1dae4379fd,false,CORRECT,A cold-cache find_similar call can run web fallback and persist fetched content and embeddings in the tool's queryable cache.,"src/tools/find-similar.ts:27-118; src/search/find-similar.ts:50-53,149-188; src/search/content-fetch.ts:151-180",,"The cache is a documented, user-observable tool feature rather than an incidental transparent cache; a supported path mutates it, so actual readOnlyHint is false.",
S003,3,readOnlyHint,false,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,copy_file,filesystemserver/server.go:72,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""copy_file"",""readOnlyHint""]",05d3e447c66c906ad802df1a99b39080120076b0d33b9575b1545aa102fd4260,false,CORRECT,"copy_file creates the destination and copies bytes to it, overwriting an existing destination through os.Create.","filesystemserver/handler/copy_file.go:108-149,175-202",,"A supported success path creates or overwrites a file, so actual readOnlyHint is false and matches the omission default.",
S004,4,readOnlyHint,false,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_execute_query,crates/dbx-mcp/src/server.rs:307,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_execute_query"",""readOnlyHint""]",16cab3964a9178e5e16079daf1c823dc1a2260d6cee2ede3e03d906d9f18d384,false,CORRECT,dbx_execute_query executes caller SQL and permits write-risk SQL when the server's write policy allows it.,"crates/dbx-mcp/src/server.rs:307-392,977-1023; crates/dbx-core/src/agent_tools.rs:30-55,99-105",,"Ordinary supported configuration permits mutating SQL, so actual readOnlyHint is false and matches the omission default.",
S005,5,readOnlyHint,false,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,76d64c822f5125032f89eb71dbdb94e42b434821,fetch,fetch,tools/list from src/fetch/src/mcp_server_fetch/server.py at pinned commit,"[""modelcontextprotocol/servers"",""76d64c822f5125032f89eb71dbdb94e42b434821"",""fetch"",""fetch"",""readOnlyHint""]",0a04ff5e561e54b160d9aa9271ac9f8d3de2721a4d2493d7aeb29ebd4a86c464,true,CONSERVATIVE_IMPRECISE,fetch performs robots and target HTTP reads and returns converted content; the implementation has no intentional environment mutation.,"src/fetch/src/mcp_server_fetch/server.py:66-148,223-255",,"Ignoring incidental remote access logs as preregistered, all successful paths are reads. Explicit readOnlyHint true would materially improve approval handling over the conservative false default.",
S006,6,readOnlyHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_mark,pkg/server/server.go:354,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_mark"",""readOnlyHint""]",0aa6c67d185e35abbfd83161d18f4c4e5f4b0d5bfae036571de84f5f11b3b412,false,CORRECT,conversations_mark calls Slack's mark-conversation operation and changes the conversation read cursor.,pkg/handler/conversations.go:1342-1385; pkg/provider/api.go:394-396,,"The operation updates remote read state, so actual readOnlyHint is false and matches the omission default.",
S007,7,readOnlyHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_add_message,pkg/server/server.go:180,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_add_message"",""readOnlyHint""]",1258942a7ef8c22a1e5255a4cb3c058552b79535cfbfec73e625a54a13d1465c,false,CORRECT,conversations_add_message calls Slack PostMessage and creates a channel message; it may also mark the posted timestamp.,pkg/handler/conversations.go:206-284; pkg/provider/api.go:532-534,,"A successful path creates remote message state, so actual readOnlyHint is false and matches the omission default.",
S008,8,readOnlyHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,usergroups_users_update,pkg/server/server.go:522,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""usergroups_users_update"",""readOnlyHint""]",18bfa0a7503d2598f6a8e4640b5dd61437c120b220115ac7f8bfdade0201b471,false,CORRECT,usergroups_users_update sends a replacement member list to Slack's user-group update operation.,pkg/handler/usergroups.go:237-292; pkg/provider/api.go:600-602,,"The implementation mutates remote membership state, so actual readOnlyHint is false and matches the omission default.",
S009,9,readOnlyHint,false,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,tree,filesystemserver/server.go:135,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""tree"",""readOnlyHint""]",1b6635f73dac2f63928bcea4294696a620a0d620765195ae5d51bf57972fad2d,true,CONSERVATIVE_IMPRECISE,tree recursively stats and reads directories to construct a returned tree without writing filesystem state.,filesystemserver/handler/tree.go:13-218,,All supported success paths are local filesystem reads. Explicit readOnlyHint true would materially improve approval handling over the conservative false default.,
S010,10,readOnlyHint,false,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-patch-block-children,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-patch-block-children"",""readOnlyHint""]",2753bc509e2b91298ca079af458ed4acf05180a9413332a160827d36b0d69d3b,false,CORRECT,The generated tool sends a PATCH whose schema appends child blocks to an existing Notion block or page.,scripts/notion-openapi.json:736-778; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230,,"A successful path appends remote block state, so actual readOnlyHint is false and matches the omission default.",
S011,11,destructiveHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,merge_pull_request,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""merge_pull_request"",""destructiveHint""]",0d269feb307386fbff613ff4325962fc7feea4ef225ce7d55e7fb641cc532505,true,CORRECT,"merge_pull_request invokes GitHub's merge endpoint, changing the target branch and pull-request merge state.",pkg/github/pullrequests.go:1500-1605,,"Merging alters pre-existing repository and pull-request state, so actual destructiveHint is true and matches the omission default.",
S012,12,destructiveHint,true,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_remove_connection,crates/dbx-mcp/src/server.rs:620,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_remove_connection"",""destructiveHint""]",31521e12a32da4ed5a331f8d1b6f0b48598bf6ca43833a3da595b57358e3dda9,true,CORRECT,"dbx_remove_connection resolves a saved connection, invokes the removal backend, and removes it from the connected map.",crates/dbx-mcp/src/server.rs:620-659; crates/dbx-mcp/src/backend.rs:697-711,,"A successful path deletes pre-existing connection state, so actual destructiveHint is true and matches the omission default.",
S013,13,destructiveHint,true,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,cache,src/server.ts tools/list; description at src/instructions.ts:241,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""cache"",""destructiveHint""]",0fd4ffb8daed87864c4753a29caef9657de094d00ad854b1187291956a65355b,true,CORRECT,The cache tool's clear action deletes selected or all persisted cache entries.,src/tools/cache.ts:28-110; src/cache/store.ts:531-560,,"A supported action deletes pre-existing cache records, so aggregate actual destructiveHint is true and matches the omission default.",
S014,14,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,delete_file,filesystemserver/server.go:150,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""delete_file"",""destructiveHint""]",06a431f3e1558ad0f8a842582c3505cdf90fc1583485667099f579f770a56230,true,CORRECT,delete_file removes a file with os.Remove or a directory tree with os.RemoveAll.,filesystemserver/handler/delete_file.go:81-119,,"A successful path deletes pre-existing filesystem state, so actual destructiveHint is true and matches the omission default.",
S015,15,destructiveHint,true,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_join,pkg/server/server.go:381,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_join"",""destructiveHint""]",a33786d32ab0bdce30f578c416135601de7c09520a1f0ca3de611cad82aa2305,false,CONSERVATIVE_IMPRECISE,conversations_join calls Slack's join-conversation operation and adds the authenticated user to a channel.,pkg/handler/conversations.go:1416-1436; pkg/provider/api.go:411-413,,"The mutation is exclusively additive membership, so actual destructiveHint is false. Explicit false would materially reduce destructive-operation treatment while the true default is conservative.",
S016,16,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,read_file,filesystemserver/server.go:32,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""read_file"",""destructiveHint""]",186ce342cc6a0834964a3e1072ee31ee141f439c42ded99e9dd7c6f7dcf66997,false,CONSERVATIVE_IMPRECISE,"read_file validates, stats, and reads a file before returning its content, without any write path.",filesystemserver/handler/read_file.go:39-214,,The implementation is read-only and has no destructive effect. Explicit destructiveHint false would materially improve approval handling over the conservative true default.,
S017,17,destructiveHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,mark_all_notifications_read,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""mark_all_notifications_read"",""destructiveHint""]",1a5809ec3c07a72dfea098515a673e8ce3f50c266e87addf88d1d19ddc3ceee7,true,CORRECT,mark_all_notifications_read sends a timestamped GitHub operation that changes existing notification read state.,pkg/github/notifications.go:241-330,,"Changing unread notifications to read alters pre-existing state, so actual destructiveHint is true under the frozen definition and matches the omission default.",
S018,18,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,modify_file,filesystemserver/server.go:162,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""modify_file"",""destructiveHint""]",243d4f770ff6bb74077dd00d18bc205656e41d1d2faa25fa9d1d8d1a3b9edbf8,true,CORRECT,"modify_file reads an existing file, replaces requested text, and writes the modified content back.",filesystemserver/handler/modify_file.go:103-165,,"A successful path overwrites pre-existing file content, so actual destructiveHint is true and matches the omission default.",
