sample_id,selection_order,annotation_type,effective_default,repository,repository_url,pinned_commit,source_server,tool,source,field_unit_id,random_rank
S001,1,readOnlyHint,false,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-create-a-comment,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-create-a-comment"",""readOnlyHint""]",139dc8f3d34958574086b3481326a5e74cb9b808f88d808223e8a6a33a474ad7
S002,2,readOnlyHint,false,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,find_similar,src/server.ts tools/list; description at src/instructions.ts:262,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""find_similar"",""readOnlyHint""]",2c81554dcd3dafa711c1aa5a4f1bef6b1bf8b6e14b4c2c1033ee6e1dae4379fd
S003,3,readOnlyHint,false,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,copy_file,filesystemserver/server.go:72,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""copy_file"",""readOnlyHint""]",05d3e447c66c906ad802df1a99b39080120076b0d33b9575b1545aa102fd4260
S004,4,readOnlyHint,false,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_execute_query,crates/dbx-mcp/src/server.rs:307,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_execute_query"",""readOnlyHint""]",16cab3964a9178e5e16079daf1c823dc1a2260d6cee2ede3e03d906d9f18d384
S005,5,readOnlyHint,false,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,76d64c822f5125032f89eb71dbdb94e42b434821,fetch,fetch,tools/list from src/fetch/src/mcp_server_fetch/server.py at pinned commit,"[""modelcontextprotocol/servers"",""76d64c822f5125032f89eb71dbdb94e42b434821"",""fetch"",""fetch"",""readOnlyHint""]",0a04ff5e561e54b160d9aa9271ac9f8d3de2721a4d2493d7aeb29ebd4a86c464
S006,6,readOnlyHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_mark,pkg/server/server.go:354,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_mark"",""readOnlyHint""]",0aa6c67d185e35abbfd83161d18f4c4e5f4b0d5bfae036571de84f5f11b3b412
S007,7,readOnlyHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_add_message,pkg/server/server.go:180,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_add_message"",""readOnlyHint""]",1258942a7ef8c22a1e5255a4cb3c058552b79535cfbfec73e625a54a13d1465c
S008,8,readOnlyHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,usergroups_users_update,pkg/server/server.go:522,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""usergroups_users_update"",""readOnlyHint""]",18bfa0a7503d2598f6a8e4640b5dd61437c120b220115ac7f8bfdade0201b471
S009,9,readOnlyHint,false,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,tree,filesystemserver/server.go:135,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""tree"",""readOnlyHint""]",1b6635f73dac2f63928bcea4294696a620a0d620765195ae5d51bf57972fad2d
S010,10,readOnlyHint,false,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-patch-block-children,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-patch-block-children"",""readOnlyHint""]",2753bc509e2b91298ca079af458ed4acf05180a9413332a160827d36b0d69d3b
